AidTypeDescriptor,BeginDate,StudentUniqueId,EndDate,AidConditionDescription,AidAmount,PellGrantRecipient
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-05-23,1000001016,2017-12-14,MERIT BASED,2733.5000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-05-23,1000002266,2018-05-10,MERIT BASED,10000.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-09,1000006427,2018-05-10,MERIT BASED,4500.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-09,1000001897,2018-05-10,MERIT BASED,3822.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-09,1000003107,2018-05-10,MERIT BASED,3750.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-18,1000002499,2017-12-14,MERIT BASED,500.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-18,1000002504,2018-05-10,MERIT BASED,1540.5800,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-18,1000004904,2018-05-10,MERIT BASED,4000.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-18,1000003755,2018-08-17,MERIT BASED,2308.0900,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-18,1000002951,2018-05-10,MERIT BASED,1000.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-18,1000006590,2018-05-10,MERIT BASED,1558.5800,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-21,1000002529,2018-07-10,MERIT BASED,1704.2100,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-22,1000001219,2018-08-17,MERIT BASED,2262.6900,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-29,1000006570,2017-12-14,MERIT BASED,200.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-29,1000004279,2017-12-14,MERIT BASED,192.3700,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-29,1000002010,2017-12-14,MERIT BASED,192.3700,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-29,1000002070,2017-12-14,MERIT BASED,205.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-29,1000003506,2017-12-14,MERIT BASED,200.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-08-29,1000004808,2017-12-14,MERIT BASED,200.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-09-25,1000002324,2017-12-14,MERIT BASED,200.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-10-06,1000006570,2018-05-10,MERIT BASED,1020.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-10-06,1000002070,2018-05-10,MERIT BASED,1020.0000,TRUE
