BeginDate,CandidateIdentifier,EducationOrganizationId,ProgramName,SchoolYear,ProgramTypeDescriptor,ReasonExitedDescriptor,CohortYearTypeDescriptor,TermDescriptor,MajorSpecialization
2017-01-17,1000005361,1,All Level EC-12+Music,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2017-01-17,1000005980,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-01-20,1000000159,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-01-20,1000000199,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-01-20,1000000273,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-01-20,1000000295,1,Elementary EC-6+E.S.L.,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-01-20,1000005095,1,High School 7 - 12+Social Studies Composite,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-01-20,1000005155,1,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-01-20,1000006058,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-08-31,1000000077,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-08-31,1000000217,4,High School 7 - 12+English,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-08-31,1000000292,4,High School 7 - 12+History,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-08-31,1000000304,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-08-31,1000000326,4,High School 7 - 12+Social Studies Composite,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2017-01-17,1000004083,1,All Level EC-12+Art,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2017-01-17,1000004961,4,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-01-20,1000004862,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-08-31,1000003681,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2015-08-31,1000004067,3,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000000098,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000000103,4,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000000175,4,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000000373,1,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000000418,1,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000000520,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000000531,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000002970,1,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000004019,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000005186,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000004372,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000004895,4,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000006287,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000006637,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000006720,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,2000001743,1,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,2000002656,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000006493,1,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-01-19,1000006913,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-06-06,1000005229,1,High School 7 - 12+English,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-06-06,1000002996,1,All Level EC-12+Music,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-06-06,1000003521,4,All Level EC-12+Music,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000000324,1,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000000200,4,All Level EC-12+Music,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000000353,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000003910,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000004078,1,All Level EC-12+Art,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000004321,1,All Level EC-12+Art,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000005006,4,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000004172,1,High School 7 - 12+English,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000006088,4,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000006218,1,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000006361,1,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000003761,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000006411,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000006486,1,All Level EC-12+Music,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-08-29,1000006503,1,All Level EC-12+Music,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-06-06,1000006436,1,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2016-06-06,1000006492,1,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
