CredentialIdentifier,GradeLevelDescriptor,StateOfIssueStateAbbreviationDescriptor,CredentialFieldDescriptor,CredentialTypeDescriptor,ExpirationDate,IssuanceDate,Namespace,TeachingCredentialDescriptor,CertificationTitle,PersonId,SourceSystemDescriptor
00334440-91B3-4BA1-A3D6-5B3AC8BA488D,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Grades (7-12),uri://ed-fi.org/StateAbbreviationDescriptor#TX,uri://tpdm.ed-fi.org/CredentialFieldDescriptor#History,uri://ed-fi.org/CredentialTypeDescriptor#Certification,1/30/2024,1/15/2018,uri:/univ.edu/Credential/State,uri://ed-fi.org/TeachingCredentialDescriptor#Regular/Standard,State,458D88AEC8A045F192DE5C8BB99832E0,uri://ed-fi.org/SourceSystemDescriptor#State
0158306F-EEE8-4A98-B868-D82EA5E4B1E9,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Grades (EC-6),uri://ed-fi.org/StateAbbreviationDescriptor#TX,uri://tpdm.ed-fi.org/CredentialFieldDescriptor#English as a Second Language Supplemental,uri://ed-fi.org/CredentialTypeDescriptor#Certification,1/31/2022,1/14/2018,uri:/univ.edu/Credential/State,uri://ed-fi.org/TeachingCredentialDescriptor#Regular/Standard,State,C9B0AF6DF11C4E1990199C88D53FDDDC,uri://ed-fi.org/SourceSystemDescriptor#State
0185417B-FEE0-42EF-A134-91B3793FE444,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Grades (EC-12),uri://ed-fi.org/StateAbbreviationDescriptor#TX,uri://tpdm.ed-fi.org/CredentialFieldDescriptor#Special Education,uri://ed-fi.org/CredentialTypeDescriptor#Certification,1/31/2023,1/26/2018,uri:/univ.edu/Credential/State,uri://ed-fi.org/TeachingCredentialDescriptor#Regular/Standard,State,4DBA36F6017D406CB2B9DC0D39E657CE,uri://ed-fi.org/SourceSystemDescriptor#State
01942B68-5842-4BE8-A55E-4DC3FC5CADC9,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Grades (EC-6),uri://ed-fi.org/StateAbbreviationDescriptor#TX,uri://tpdm.ed-fi.org/CredentialFieldDescriptor#Core Subjects,uri://ed-fi.org/CredentialTypeDescriptor#Certification,1/31/2024,1/12/2018,uri:/univ.edu/Credential/State,uri://ed-fi.org/TeachingCredentialDescriptor#Regular/Standard,State,3CD42740FBA94D399821FA40EA4B4288,uri://ed-fi.org/SourceSystemDescriptor#State
01C02A72-EA66-48DE-AF03-A712F93ED893,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Grades (EC-6),uri://ed-fi.org/StateAbbreviationDescriptor#TX,uri://tpdm.ed-fi.org/CredentialFieldDescriptor#Bilingual Education Supplemental-Spanish,uri://ed-fi.org/CredentialTypeDescriptor#Certification,1/29/2024,1/17/2018,uri:/univ.edu/Credential/State,uri://ed-fi.org/TeachingCredentialDescriptor#Regular/Standard,State,7B9D30697CE34315ADB4F2B64D463107,uri://ed-fi.org/SourceSystemDescriptor#State
01F4C8D6-9C46-47DB-AC7D-1177AB3F8138,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Grades (EC-6),uri://ed-fi.org/StateAbbreviationDescriptor#TX,uri://tpdm.ed-fi.org/CredentialFieldDescriptor#Core Subjects,uri://ed-fi.org/CredentialTypeDescriptor#Certification,1/31/2023,1/10/2018,uri:/univ.edu/Credential/State,uri://ed-fi.org/TeachingCredentialDescriptor#Regular/Standard,State,7A0BAC79FBCF4216BEBE6C8B214051ED,uri://ed-fi.org/SourceSystemDescriptor#State
025BE5FF-85CD-414D-AFE4-C6C70EE19268,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Grades (6-12),uri://ed-fi.org/StateAbbreviationDescriptor#TX,uri://tpdm.ed-fi.org/CredentialFieldDescriptor#Secondary English as a Second Language,uri://ed-fi.org/CredentialTypeDescriptor#Certification,1/31/2019,1/20/2018,uri:/univ.edu/Credential/State,uri://ed-fi.org/TeachingCredentialDescriptor#Emergency,State,0528323C3CF842B7BA7235A063D35BE2,uri://ed-fi.org/SourceSystemDescriptor#State
044D834C-E150-4A6D-9579-8DB720830312,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Grades (EC-6),uri://ed-fi.org/StateAbbreviationDescriptor#TX,uri://tpdm.ed-fi.org/CredentialFieldDescriptor#Core Subjects,uri://ed-fi.org/CredentialTypeDescriptor#Certification,1/29/2024,1/31/2018,uri:/univ.edu/Credential/State,uri://ed-fi.org/TeachingCredentialDescriptor#Regular/Standard,State,B599593AD5534C01ACD89964F7DF8DB0,uri://ed-fi.org/SourceSystemDescriptor#State
04F792EE-C810-4904-87FA-1159D0B0C132,uri://tpdm.ed-fi.org/GradeLevelDescriptor#Grades (EC-6),uri://ed-fi.org/StateAbbreviationDescriptor#TX,uri://tpdm.ed-fi.org/CredentialFieldDescriptor#Core Subjects,uri://ed-fi.org/CredentialTypeDescriptor#Certification,1/31/2024,1/1/2018,uri:/univ.edu/Credential/State,uri://ed-fi.org/TeachingCredentialDescriptor#Regular/Standard,State,C320EAC3CD6844EBA7DBD89001797AF4,uri://ed-fi.org/SourceSystemDescriptor#State
05A50564-F3BF-4381-B4C7-CE1B53EF7C67,uri://ed-fi.org/GradeLevelDescriptor#Other,uri://ed-fi.org/StateAbbreviationDescriptor#TX,uri://tpdm.ed-fi.org/CredentialFieldDescriptor#Educational Aide III,uri://ed-fi.org/CredentialTypeDescriptor#Certification,1/12/2020,1/12/2018,uri:/univ.edu/Credential/State,uri://tpdm.ed-fi.org/TeachingCredentialDescriptor#Educational Aide,State,450922C6525448AE88F251453F53EBF5,uri://ed-fi.org/SourceSystemDescriptor#State
