SurveySectionTitle,Namespace,SurveyIdentifier,QuestionCode,QuestionText,QuestionFormDescriptor
Care,uri://tpdm.ed-fi.org,9F22914C-7A93-4CF6-83C1-850E1185B672,2462,Care Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
Confer,uri://tpdm.ed-fi.org,9F22914C-7A93-4CF6-83C1-850E1185B672,2688,Confer Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
Care,uri://tpdm.ed-fi.org,CB20860D-6202-4A1E-9009-6805F4F02B0C,2706,Care Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
Clarify,uri://tpdm.ed-fi.org,9F22914C-7A93-4CF6-83C1-850E1185B672,2797,Clarify Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
Confer,uri://tpdm.ed-fi.org,CB20860D-6202-4A1E-9009-6805F4F02B0C,2932,Confer Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
Challenge,uri://tpdm.ed-fi.org,9F22914C-7A93-4CF6-83C1-850E1185B672,2982,Challenge Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
Captivate,uri://tpdm.ed-fi.org,9F22914C-7A93-4CF6-83C1-850E1185B672,3012,Captivate Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
Clarify,uri://tpdm.ed-fi.org,CB20860D-6202-4A1E-9009-6805F4F02B0C,3041,Clarify Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
Consolidate,uri://tpdm.ed-fi.org,9F22914C-7A93-4CF6-83C1-850E1185B672,3224,Consolidate Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
Challenge,uri://tpdm.ed-fi.org,CB20860D-6202-4A1E-9009-6805F4F02B0C,3226,Challenge Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
Captivate,uri://tpdm.ed-fi.org,CB20860D-6202-4A1E-9009-6805F4F02B0C,3256,Captivate Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
Consolidate,uri://tpdm.ed-fi.org,CB20860D-6202-4A1E-9009-6805F4F02B0C,3468,Consolidate Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
Classroom Management,uri://tpdm.ed-fi.org,9F22914C-7A93-4CF6-83C1-850E1185B672,4083,Classroom Management Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
Classroom Management,uri://tpdm.ed-fi.org,CB20860D-6202-4A1E-9009-6805F4F02B0C,4327,Classroom Management Questions,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Multiple Choice
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 1,"The type of educator preparation program that I am involved in is: ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 10,"To what extent were you prepared to respond to the needs of students by being flexible in instructional approach and differentiating instruction? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 11,"To what extent were you prepared to use the results of formative assessment data to guide instruction? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 12,"To what extent were you prepared to engage and motivate students through learner-centered instruction? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 13,"To what extent were you prepared to integrate effective modeling, questioning, and self-reflection (self-assessment) strategies into instruction? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 14,"To what extent were you prepared to assume various roles in the instructional process (e.g. instructor, facilitator, audience)? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 15,"To what extent were you prepared to set clear learning goals and align instruction with standards based content? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 16,"To what extent were you prepared to provide quality and timely feedback to students? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 17,"Did you have students with disabilities in your classroom as determined by the Texas Administrative Code 89.1001? A child is considered a student with disabilities if he or she has a physical, cognitive, behavioral, or other related impairment. ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 18,"To what extent were you prepared to differentiate instruction to meet the academic needs of students with disabilities? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 19,"To what extent were you prepared to differentiate instruction to meet the behavioral needs of students with disabilities? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 2,"Were you employed as a beginning teacher (teacher of record) during the current or previous academic year? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 20,"To what extent were you prepared to provide appropriate ways for students with disabilities to demonstrate their learning? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 21,"To what extent were you prepared to understand and adhere to the federal and state laws that govern special education services? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 22,"To what extent were you prepared to make appropriate decisions (e.g., when and how to make accommodations and/or modifications to instruction, assessment, materials, delivery, and classroom procedures) to meet the learning needs of students who have an In",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 23,"To what extent were you prepared to develop and/or implement formal assessments and informal assessments that track students' progress toward IEP goals and objectives? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 24,"To what extent were you prepared to collaborate with others, such as para-educators and other teachers, in meeting the academic, developmental, and behavioral needs of students with disabilities? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 25,Did you have limited English (LEP-ELL) students in your classroom? A student is considered LEP-ELL if he or she has a primary language other than English and whose English language skills are such that the student has difficulty performing ordinary course,uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 26,"To what extent were you prepared to provide appropriate ways for LEP-ELL students to demonstrate their learning? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 27,"To what extent were you prepared to understand and adhere to federal and state laws that govern education services for LEP-ELL students? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 28,"To what extent were you prepared to comply with district and campus policies and procedures regarding LEP-ELL students? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 29,"To what extent were you prepared to support LEP-ELL students in mastering the Texas Essential Knowledge and Skills (TEKS), including the English Language Proficiency Standards (ELPS)? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 3,"The area in which your current teaching assignment is located is best described as (choose one): ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 30,"To what extent were you prepared to model and teach the forms and functions of academic English in content areas? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 31,"To what extent were you prepared to use technology available on the campus to integrate curriculum TEKS and Technology Applications TEKS to support student learning? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 32,"To what extent were you prepared to provide technology based classroom learning opportunities that allow students to interact with real-time and/or online content? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 33,"To what extent were you prepared to teach students developmentally appropriate technology skills? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 34,"To what extent were you prepared to use technology to make learning more active and engaging for students? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 35,"To what extent were you prepared to use available technology to collect, manage, and analyze student data using software programs (such as Excel or an electronic grade book)? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 36,"To what extent were you prepared to use available technology to collect, manage, and analyze data from multiple sources in order to interpret learning results for students? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 37,"To what extent were you prepared to use available technology to document student learning to determine when an intervention is necessary and appropriate? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 38,"To what extent were you prepared to use available technology to collect and manage formative assessment data to guide instruction? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 39,"To what extent did your Field Supervisor share with you the expectations for your performance in the classroom before each observation? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 4,"To what extent were you prepared to effectively implement the discipline-management procedures approved by the campus? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 40,"To what extent did your Field Supervisor base observation feedback on the expectations for your performance in the classroom? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 41,"To what extent did your Field Supervisor provide you with a written report or checklist of his/her observation of your performance in the classroom? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 42,"To what extent did your Field Supervisor offer feedback on your performance in the classroom within one week of each observation? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 43,"To what extent did your Field Supervisor include specific strategies that address your strengths and weaknesses in his/her feedback about your performance in the classroom? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
