Namespace,QuestionCode,SurveyIdentifier,SurveyResponseIdentifier,MatrixElement,TextResponse,NumericResponse
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,018D5C34-4F66-4B87-A904-1A6BFC618820,TBMS4_1,Somewhat like me,3
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,029E0C58-F872-44DD-99B6-C63C18C8F32C,TBMS4_1,Not much like me,4
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,02F7FD90-F759-4201-9359-ECEC39AA6715,TBMS4_1,Not much like me,4
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,0308E111-3321-4244-9DAE-90DCD2017947,TBMS4_1,Not much like me,4
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,044E07EE-5BD5-4A6D-A1C0-EBD6EB968D2E,TBMS4_1,Not much like me,4
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,06C6FF2F-D530-45BC-ACAD-809CD1F119C3,TBMS4_1,Somewhat like me,3
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,0A7C76E0-281E-4B75-9C2B-7F4F937B1785,TBMS4_1,Somewhat like me,3
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,0AA48FF6-B363-40B2-B8CF-EB2C396FEE11,TBMS4_1,Mostly like me,2
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,0DF11B16-2F11-46E6-8636-904616252BAE,TBMS4_1,Somewhat like me,3
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,1322A3C7-1EF8-4C71-B07C-FD02DEAFD997,TBMS4_1,Somewhat like me,3
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,14435774-96BE-4A28-9D27-48A48DC9A1E0,TBMS4_1,Not like me at all,5
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,156A0FD7-A6E1-48D5-A284-CADEC7625CC1,TBMS4_1,Not much like me,4
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,164AE667-216D-4BE4-A070-003F181AC4DC,TBMS4_1,Somewhat like me,3
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,1739DD52-F6F3-43F9-8240-2D7391629272,TBMS4_1,Not much like me,4
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,17B8B93A-41E2-4AD3-8C30-C3A3C0301331,TBMS4_1,Somewhat like me,3
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,191C837A-3B06-461B-9940-059B92078517,TBMS4_1,Not like me at all,5
uri://univ.edu,TBMS4_1,8A028D4C-06C1-4653-B3A5-015A8B386EC7,1AABBD63-826A-4EE9-8B5A-BEE0846ACE07,TBMS4_1,Somewhat like me,3
